TITLES
S&S Hotels and Suites Fresh Graduate & Exp. Job Recruitment (5 Positions) - UPDATED | Hot Nigerian Jobs.
Graduate Medical House Officers (Internship) at the Military Hospital, Lagos (MHI) | Hot Nigerian Jobs.
Project Officer at Plan International - Abuja and Kaduna | Hot Nigerian Jobs.
First Bank of Nigeria Limited Recruitment for Graduate Infographic and Graphic Designer Intern | Hot Nigerian Jobs.
First Bank of Nigeria Limited Fresh Graduate & Mid-level Job Recruitment (6 Positions) | Hot Nigerian Jobs.
Graphics Designer/Instructor at HiiT Plc | Hot Nigerian Jobs.
Sales/Marketing Executive at Nigerian NewsDirect Newspaper - Kwara | Hot Nigerian Jobs.
Sales/Marketing Executive at Nigerian NewsDirect Newspaper - Ogun | Hot Nigerian Jobs.
Consultant Survey Coordinator - National Nutrition and Health Survey (NNHS) at the United Nations Children's Fund (UNICEF) | Hot Nigerian Jobs.
Graduate Dental Therapy Intern at the 68 Nigerian Army Reference Hospital, Yaba (68 NARHY) | Hot Nigerian Jobs.
Provost at the Federal College of Education, Eha-Amufu | Hot Nigerian Jobs.
Graduate Dental Technology Intern at the Military Hospital, Lagos (MHI) | Hot Nigerian Jobs.
Graduate Dental Technology Intern at the 68 Nigerian Army Reference Hospital, Yaba (68 NARHY) | Hot Nigerian Jobs.
Graduate Optometry Intern at the 68 Nigerian Army Reference Hospital, Yaba (68 NARHY) | Hot Nigerian Jobs.
Graduate Medical Laboratory Science Intern at the Military Hospital, Lagos (MHI) | Hot Nigerian Jobs.
Political Correspondent at Nigerian NewsDirect Newspaper - Abuja | Hot Nigerian Jobs.
Political Correspondent at Nigerian NewsDirect Newspaper - Lagos | Hot Nigerian Jobs.
Business Correspondent at Nigerian NewsDirect Newspaper - Abuja | Hot Nigerian Jobs.
Plan International Fresh Job Recruitment (13 Positions) | Hot Nigerian Jobs.
Graduate Medical House Officers (Internship) at the 44 Nigerian Army Reference Hospital, Kaduna (44 NARHK) | Hot Nigerian Jobs.
Digital Risk & Cybersecurity Senior Associate - Risk Assurance Services at PricewaterhouseCooper (PwC) | Hot Nigerian Jobs.
Relationship Managers at Regent Microfinance Bank Limited | Hot Nigerian Jobs.
Direct Sales Agent a Reputable Nigerian Bank - Kennedia Consulting | Hot Nigerian Jobs.
Marketing Personnel at the Rossland Group - Kano, Kaduna, Katsina, Jigawa  | Hot Nigerian Jobs.
Retail Cashier (Nasarawa) at KC Gaming Networks Limited (Bet9ja) | Hot Nigerian Jobs.
Retail Cashier (Lagos) at KC Gaming Networks Limited (Bet9ja) | Hot Nigerian Jobs.
Retail Cashier (Oyo) at KC Gaming Networks Limited (Bet9ja) | Hot Nigerian Jobs.
Sales Representative (Abia) at Fastizers Food and Confectionery Limited | Hot Nigerian Jobs.
Project Assurance Senior Associate - Risk Assurance Services at PricewaterhouseCooper (PwC) | Hot Nigerian Jobs.
Graduate Control Assurance Associate - Risk Assurance Services at PricewaterhouseCooper (PwC) | Hot Nigerian Jobs.
Retail Cashier (Ogun) at KC Gaming Networks Limited (Bet9ja) | Hot Nigerian Jobs.
Retail Cashier (Abuja) at KC Gaming Networks Limited (Bet9ja) | Hot Nigerian Jobs.
Financial Manager at ARM Life Plc | Hot Nigerian Jobs.
Part Sales Officer at Quest Oil and Engineering Services Limited | Hot Nigerian Jobs.
Retail Store Manager at Somotex Nigeria Limited | Hot Nigerian Jobs.
Product Sales Specialist at a Vibrant Indigenous Pharmaceutical Company | Hot Nigerian Jobs.
VCE Infrastructure Engineer at Quad Signals Limited | Hot Nigerian Jobs.
Construction Assistant at the United Nations Children's Fund (UNICEF) | Hot Nigerian Jobs.
Marketing Executive at Ultra Media Solution Limited | Hot Nigerian Jobs.
Sales/Marketing Executive at Nigerian NewsDirect Newspaper - Niger | Hot Nigerian Jobs.
Lead Socio Economist at an Internationally Reputed Civil Engineering Company - ValueFronteira Limited | Hot Nigerian Jobs.
Sales/Marketing Executive at Nigerian NewsDirect Newspaper - Ebonyi | Hot Nigerian Jobs.
Sales/Marketing Executive at Nigerian NewsDirect Newspaper - Enugu | Hot Nigerian Jobs.
Accountant at the Montaigne Place | Hot Nigerian Jobs.
Sales/Marketing Executive at Nigerian NewsDirect Newspaper - Abia | Hot Nigerian Jobs.
Accountant at Bolton White Hotels & Apartments | Hot Nigerian Jobs.
Production Manager at Sales Force Consulting | Hot Nigerian Jobs.
Sales/Marketing Executive at Nigerian NewsDirect Newspaper - Sokoto | Hot Nigerian Jobs.
Sales/Marketing Executive at Nigerian NewsDirect Newspaper - Kano | Hot Nigerian Jobs.
Sales/Marketing Executive at Nigerian NewsDirect Newspaper - Benue | Hot Nigerian Jobs.
Sales/Marketing Executive at Nigerian NewsDirect Newspaper - Kaduna | Hot Nigerian Jobs.
Sales Representative at Quest Oil and Engineering Services Limited | Hot Nigerian Jobs.
OR Nurses at Kleinburg Medical Center | Hot Nigerian Jobs.
Living Benefit Officer at ARM Life Plc - Nationwide | Hot Nigerian Jobs.
Business Development Executive at Lily Homes Limited | Hot Nigerian Jobs.
ICT Officer at Mercy Corps Nigeria | Hot Nigerian Jobs.
Correspondent at Nigerian NewsDirect Newspaper - Enugu | Hot Nigerian Jobs.
General Coordinator (M/F) at Medecins Du Monde | Hot Nigerian Jobs.
Graduate Client Centre Executive - Sales at Standard Chartered Bank Nigeria | Hot Nigerian Jobs.
ARM Life Plc Fresh Job Recruitment (4 Positions) | Hot Nigerian Jobs.
Nigerian NewsDirect Newspaper Fresh Job Recruitment (36 Positions) | Hot Nigerian Jobs.
Entry-level Female Marketing Executives at a Reputable Real Estate Firm - Brickwall Global Investment Limited | Hot Nigerian Jobs.
Bolton White Hotels & Apartments Fresh Job Recruitment (4 Positions) | Hot Nigerian Jobs.
Digital Marketing Intern at Paruto | Hot Nigerian Jobs.
Marketing Executive at Telvida International Systems Limited | Hot Nigerian Jobs.
Social Media Manager at West-Bay Nigeria | Hot Nigerian Jobs.
Production Manager at Louis Valentino Nigeria Limited | Hot Nigerian Jobs.
Assistant General Manager, Sales & Marketing at Louis Valentino Nigeria Limited | Hot Nigerian Jobs.
Porters at ABUAD Multi-System Hospital | Hot Nigerian Jobs.
Cleaners at ABUAD Multi-System Hospital | Hot Nigerian Jobs.
Graduate Radiographers at ABUAD Multi-System Hospital | Hot Nigerian Jobs.
Record Officers at ABUAD Multi-System Hospital | Hot Nigerian Jobs.
Education Specialist - EiE at the United Nations Children's Fund (UNICEF) | Hot Nigerian Jobs.
Digital Marketing Executive at a Reputable Media Firm | Hot Nigerian Jobs.
Commercial Manager - Expatriate at an International Logistics Company - Adexen Recruitment Agency | Hot Nigerian Jobs.
Operations Manager - Expatriate at an International Logistics Company - Adexen Recruitment Agency | Hot Nigerian Jobs.
Fashion Illustrator at GINANI Fashion School | Hot Nigerian Jobs.
National Common Entrance Examination (NCEE) for the 2018 Academic Session | Hot Nigerian Jobs.
UBA Foundation National Essay Competition 2017 - Ends Today (27th October, 2017) | Hot Nigerian Jobs.
University of Calabar Admissions into JUPEB Programme for 2017/2018 Academic Session | Hot Nigerian Jobs.
Business Development Coordinator at Levande Healthcare Limited | Hot Nigerian Jobs.
Fashion Training Instructor at GINANI Fashion School | Hot Nigerian Jobs.
Guinness Nigeria Graduate Skills Development Scholarship Programme 2017/2018 | Hot Nigerian Jobs.
Finance and Admin Intern/Volunteer at Green Concern for Development (GreenCode)  | Hot Nigerian Jobs.
Copy Editor at DevTech Systems | Hot Nigerian Jobs.
Offline Sales Agent at IROKO TV - eRecruiter Nigeria Limited | Hot Nigerian Jobs.
Operations Director at Regus Nigeria | Hot Nigerian Jobs.
Graduate ICLA Assistant at the Norwegian Refugee Council (NRC) | Hot Nigerian Jobs.
Pharmacy Technician at an Upcoming Hospital | Hot Nigerian Jobs.
Regional Monitoring & Evaluation Coordinator at Action Against Hunger | ACF-International | Hot Nigerian Jobs.
Bakers (Bread) at 478 Limited | Hot Nigerian Jobs.
HNJobs (Recap): Top Managerial/Directors Job Opportunities Last Week - (Over 100 Positions) | Hot Nigerian Jobs.
HNJ Exclusive: All-in-ONE Weekly Job Pack - October Week Four UPDATE! | Hot Nigerian Jobs.
HNJobs (Recap): Federal/State Government Job Opportunities - HNJ Exclusive | Hot Nigerian Jobs.
HNJobs (Recap): Top Companies Recruiting For Supervisors Last Week! | Hot Nigerian Jobs.
MoneyGram Recruitment for Sales & Account Manager | Hot Nigerian Jobs.
Principal at Lateral Capital | Hot Nigerian Jobs.
Quality Control Manager at Somotex Nigeria Limited | Hot Nigerian Jobs.
Entry-level Business Development Executive at AIICO Insurance Plc  | Hot Nigerian Jobs.
Graduate B2B Business Analyst at ENYO Retail & Supply | Hot Nigerian Jobs.
Value Chain (VC) Advisor at the International Fertilizer Development Center (IFDC) | Hot Nigerian Jobs.
HR Consultant at Ralds and Agate Limited | Hot Nigerian Jobs.
Massive Drivers Recruitment at Lington & Bernie Consulting Limited | Hot Nigerian Jobs.
Sales Executive (Commercial Air Conditioner) at Somotex Nigeria Limited | Hot Nigerian Jobs.
Transaction Advisor at Tetra Tech Nigeria | Hot Nigerian Jobs.
ICLA Technical Assistant (Community Liaison) at Norwegian Refugee Council (NRC) | Hot Nigerian Jobs.
Norwegian Refugee Council (NRC) Fresh Graduate & Exp. Job Recruitment (4 Positions) | Hot Nigerian Jobs.
NNPC/TOTAL Massachusetts Institute of Technology - Empowering The Teachers (MIT-ETT) Programme 2018/2019 | Hot Nigerian Jobs.
Deputy General Manager at Octopi Reprocessing Limited | Hot Nigerian Jobs.
Business Officer at Excel Corporation | Hot Nigerian Jobs.
Accountant/Cashier at Dreamfield Farm Resorts | Hot Nigerian Jobs.
Offshore Structures Software Workshops for Oil & Gas Professionals | Hotnigerianjobs.
Graduate Software Developer (Java) at Byteworks Technology Solutions | Hot Nigerian Jobs.
University Librarian at Ebonyi State University | Hot Nigerian Jobs.
Graduate Marketing and Sales Officer (Manufacturing) at W-Holistic Business Solution | Hot Nigerian Jobs.
Quality Assurance Lead at Byteworks Technology Solutions | Hot Nigerian Jobs.
Graduate Optometrists (Internship) at the Nigerian Air Force (NAF) | Hot Nigerian Jobs.
Bursar at Ebonyi State University | Hot Nigerian Jobs.
Marketing and Sales Officer (ICT - Software) at W-Holistic Business Solutions | Hot Nigerian Jobs.
Entry-level Marketing and Sales Officer (Printing) at W-Holistic Business Solutions | Hot Nigerian Jobs.
Entry-level Marketing and Sales Officer (Fashion) at W-Holistic Business Solutions | Hot Nigerian Jobs.
Field Coordinator at Action Against Hunger | ACF-International (Monguno) | Hot Nigerian Jobs.
News: 5,000 Graduates Operate Okada - Okada Riders and Tricycles Association of Nigeria (ORTAN) | Hot Nigerian Jobs.
Graduate Medical Doctors (Internship) at the Nigerian Air Force (NAF) | Hot Nigerian Jobs.
Senior Project Manager at eHealth Africa (eHA) - Abuja/Kano | Hot Nigerian Jobs.
System Analyst at Montaigne Place | Hot Nigerian Jobs.
Senior Monitoring, Evaluation, Research and Learning Officer at Pact Nigeria | Hot Nigerian Jobs.
Security Coordinator at Oxfam Nigeria | Hot Nigerian Jobs.
PHP Developer at Tizeti Network Limited | Hot Nigerian Jobs.
Bike Riders at Southern Infinity Concepts Limited | Hot Nigerian Jobs.
Head of Business Development at BASF West Africa | Hot Nigerian Jobs.
Project Administrator at COOPI Cooperazione Internazionale | Hot Nigerian Jobs.
Team Member, Brand Development & Management at ARM Life Plc | Hot Nigerian Jobs.
Regional Financial Controller at the Association of Chartered Certified Accountants (ACCA) | Hot Nigerian Jobs.
Retail Merchandiser at Berrymart Integrated Services Limited | Hot Nigerian Jobs.
Social Media Personnel at CarpartsNigeria Automobile Limited | Hot Nigerian Jobs.
Entry-level Distribution Substation Operator at Ibadan Electricity Distribution Company (IBEDC) Plc - Kwara | Hot Nigerian Jobs.
Entry-level Lines Worker at Ibadan Electricity Distribution Company (IBEDC) Plc - Osun | Hot Nigerian Jobs.
Entry-level Lines Worker at Ibadan Electricity Distribution Company (IBEDC) Plc - Kwara | Hot Nigerian Jobs.
Henkel Graduate Production Intern Recruitment | Hot Nigerian Jobs.
Management Consultant SAP BUSINESS ONE at Maurice Xandra Solutions | Hot Nigerian Jobs.
Promasidor Nigeria Recruitment for Industrial Relations Coordinator | Hot Nigerian Jobs.
Civil Engineer at Beneprojecti Nigeria Limited | Hot Nigerian Jobs.
Management Systems Auditor / Process Analyst at Leitung Gate Limited | Hot Nigerian Jobs.
Electrical and Instrumentation Advisor at Beneprojecti Nigeria Limited | Hot Nigerian Jobs.
Subsurface Engineer at Beneprojecti Nigeria Limited | Hot Nigerian Jobs.
Website Development (Consultant) at Mercy Corps Nigeria | Hot Nigerian Jobs.
Student Recruitment Manager, West Africa - CATS and CSVPA  at Cambridge Education Group (CEG) | Hot Nigerian Jobs.
Marketing Executive at Enroyale Global Services Limited | Hot Nigerian Jobs.
Safety and Security Manager at Search for Common Ground (SFCG) | Hot Nigerian Jobs.
Experienced Senior Seismic Surveyor at United Geophysical Nigeria Limited | Hot Nigerian Jobs.
Sales Engineer at Ortus Global Africa Limited | Hot Nigerian Jobs.
Graduate Trainee Engineer Recruitment at Graceco Limited  | Hot Nigerian Jobs.
Sales Personnel at KY Avalir Nigeria Limited  | Hot Nigerian Jobs.
Business Intelligence Analyst/Oracle Data Base Administrator at FinTrak Software Co. Limited | Hot Nigerian Jobs.
Entry-level Lines Worker at Ibadan Electricity Distribution Company (IBEDC) Plc - Ogun | Hot Nigerian Jobs.
Fadac Resources Fresh Job Recruitment (3 Positions) | Hot Nigerian Jobs.
Ibadan Electricity Distribution Company (IBEDC) Plc Fresh Job Recruitment (6 Positions) | Hot Nigerian Jobs.
Henkel Graduate Engineering Intern Recruitment | Hot Nigerian Jobs.
Cooks at BI Com Limited | Hot Nigerian Jobs.
Nanny at BI Com Limited | Hot Nigerian Jobs.
Registered Nurse at the American University of Nigeria (AUN) | Hot Nigerian Jobs.
Gatemen at BI Com Limited | Hot Nigerian Jobs.
House Helps at BI Com Limited | Hot Nigerian Jobs.
General Manager at Dolvin Hotels | Hot Nigerian Jobs.
Agriculture Insurance Officer at Prestige Assurance Plc | Hot Nigerian Jobs.
Health Nurse-Midwife at the International Rescue Committee (IRC) - 3 Positions | Hot Nigerian Jobs.
Corporate Affairs Manager at Mondelez International LLC - Cadbury Nigeria Plc | Hot Nigerian Jobs.
Infrastructure & System Analyst at a Reputable Financial Institution | Hot Nigerian Jobs.
Supply Chain Manager at the International Rescue Committee (IRC) | Hot Nigerian Jobs.
Chief Operation Officer - Silo Complex at Coscharis Group Limited | Hot Nigerian Jobs.
Immigration Consultant at Catholic Relief Services (CRS) | Hot Nigerian Jobs.
Marketing and Sales Specialist at Protege Management Nigeria | Hot Nigerian Jobs.
News: Unemployed Nigerian First Class Graduate Takes to Twitter to Beg For Job | Hot Nigerian Jobs.
Service Specialist at ABB Nigeria Limited | Hot Nigerian Jobs.
Gender Coordinator at Oxfam Nigeria | Hot Nigerian Jobs.
Professional Wig Maker at SnT Collections | Hot Nigerian Jobs.
Personal Assistant (PA) to the MD at Deangelo Limited | Hot Nigerian Jobs.
Dolvin Hotels Fresh Job Recruitment (11 Positions) - Latest Opening | Hot Nigerian Jobs.
Bid Administrator/Document Controller at Safety Consultants and Solutions Provider Limited | Hot Nigerian Jobs.
A/C Technician at a Medium Telecommunications Engineering and Oil & Gas Servicing Company | Hot Nigerian Jobs.
Head of Health, Safety and Environment (HSE) at Coscharis Group Limited | Hot Nigerian Jobs.
Nurse at the Broadoak Schools | Hot Nigerian Jobs.
Accounts Officer at Leatherworld Nigeria Limited  | Hot Nigerian Jobs.
Director, Environment and Social Safeguards Department (SNSC) at the African Development Bank Group (AfDB) | Hot Nigerian Jobs.
Drivers at a Medium Telecommunications Engineering and Oil & Gas Servicing Company | Hot Nigerian Jobs.
Automobile Technician at Coscharis Group Limited - Abuja | Hot Nigerian Jobs.
Automobile Technician at Coscharis Group Limited - Port-Harcourt | Hot Nigerian Jobs.
Transport Manager at a Medium Telecommunications Engineering and Oil & Gas Servicing Company | Hot Nigerian Jobs.
Gender Specialist at Plan International | Hot Nigerian Jobs.
Marketers at a Leading Automobile Company  | Hot Nigerian Jobs.
